word	lemma	pos	wordfreq	lemfreq
writes	write	v	34379	439865
writ	write	v	538	439865
bring	bring	v	197457	439445
brought	bring	v	151748	439445
bringing	bring	v	48526	439445
brings	bring	v	41497	439445
brung	bring	v	217	439445
without	without	i	438567	438567
money	money	n	436987	437583
moneys	money	n	576	437583
m-o-n-e-y	money	n	20	437583
lot	lot	n	436374	437545
lots	lot	n	1171	437545
most	most	d	435849	435849
book	book	n	301135	435387
books	book	n	134252	435387
system	system	n	334678	435303
systems	system	n	100590	435303
sys-tem	system	n	35	435303
government	government	n	396071	434971
governments	government	n	36356	434971
govt	government	n	2527	434971
govern-ment	government	n	17	434971
next	next	m	433864	433864
city	city	n	374113	433843
cities	city	n	59531	433843
citys	city	n	199	433843
company	company	n	285396	432469
companies	company	n	146834	432469
companys	company	n	221	432469
com-pany	company	n	18	432469
story	story	n	319427	432184
stories	story	n	112748	432184
storys	story	n	9	432184
today	today	r	430978	431562
to-day	today	r	584	431562
job	job	n	312739	430995
jobs	job	n	118256	430995
move	move	v	177058	430324
moved	move	v	119916	430324
moving	move	v	105732	430324
moves	move	v	27618	430324
must	must	v	427796	427796
bad	bad	j	284576	426558
worse	bad	j	79431	426558
worst	bad	j	61940	426558
baddest	bad	j	453	426558
badder	bad	j	158	426558
friends	friend	n	232077	423755
friend	friend	n	191678	423755
during	during	i	423624	423624
began	begin	v	183819	421878
begin	begin	v	112391	421878
begins	begin	v	49838	421878
beginning	begin	v	43471	421878
begun	begin	v	32256	421878
begining	begin	v	103	421878
love	love	v	291899	417532
loved	love	v	80254	417532
loves	love	v	35268	417532
loving	love	v	10111	417532
each	each	d	414659	414659
hold	hold	v	153835	413837
held	hold	v	146205	413837
holding	hold	v	74285	413837
holds	hold	v	39512	413837
different	different	j	413560	413578
dif-ferent	different	j	18	413578
american	American	j	410698	410698
little	little	j	403861	404660
littlest	little	j	611	404660
littler	little	j	188	404660
before	before	i	402959	402959
ever	ever	r	402590	402590
words	word	n	212038	402216
word	word	n	190178	402216
fact	fact	n	345343	399574
facts	fact	n	54231	399574
right	right	n	237110	389906
rights	right	n	152796	389906
read	read	v	277492	386137
reading	read	v	90693	386137
reads	read	v	17952	386137
anything	anything	p	384431	384508
any-thing	anything	p	76	384508
nothing	nothing	p	383492	383744
nuthin	nothing	p	252	383744
sure	sure	j	382742	383701
surest	sure	j	703	383701
surer	sure	j	256	383701
small	small	j	316939	382563
smaller	small	j	57368	382563
smallest	small	j	8256	382563
months	month	n	232315	381833
month	month	n	149518	381833
program	program	n	238992	375708
programs	program	n	129328	375708
programme	program	n	5210	375708
programmes	program	n	2123	375708
pro-gram	program	n	53	375708
maybe	maybe	r	374325	374325
right	right	j	373875	373934
righter	right	j	45	373934
rightest	right	j	14	373934
under	under	i	373903	373903
business	business	n	323875	373744
businesses	business	n	49781	373744
busi-ness	business	n	46	373744
businesss	business	n	42	373744
home	home	n	308494	370758
homes	home	n	62262	370758
kind	kind	n	315812	367584
kinds	kind	n	51772	367584
stop	stop	v	238017	366567
stopped	stop	v	87070	366567
stops	stop	v	22865	366567
stopping	stop	v	18615	366567
pay	pay	v	192521	365255
paid	pay	v	96873	365255
paying	pay	v	57762	365255
pays	pay	v	17758	365255
payed	pay	v	341	365255
study	study	n	231371	364915
studies	study	n	133544	364915
since	since	c	363805	363805
issue	issue	n	189225	362137
issues	issue	n	172912	362137
name	name	n	294687	361916
